id,gid,x,y,v_x,v_y,radius,time
5,5,-5.174751,-5.121090,0.508295,0.324060,0.500000,1.000000
6,6,0.019850,-6.745625,0.013194,1.287270,0.500000,1.000000
7,7,4.800816,-4.976409,-0.685671,0.422899,0.500000,1.000000
0,0,6.420474,0.086453,-1.379437,-0.094141,0.500000,1.100000
1,1,5.008683,4.906913,-0.560154,-0.693730,0.500000,1.100000
2,2,-0.004819,6.325189,-0.237157,-1.614774,0.500000,1.100000
3,3,-4.953123,4.924656,0.420334,-0.524794,0.500000,1.100000
4,4,-6.720238,-0.033692,1.486201,-0.102290,0.500000,1.100000
5,5,-5.118443,-5.066566,0.563085,0.545245,0.500000,1.100000
6,6,0.019211,-6.602069,-0.006394,1.435561,0.500000,1.100000
7,7,4.753591,-4.920328,-0.472252,0.560806,0.500000,1.100000
0,0,6.298720,0.089724,-1.217544,0.032709,0.500000,1.200000
1,1,4.951349,4.834243,-0.573346,-0.726703,0.500000,1.200000
2,2,-0.022748,6.177906,-0.179283,-1.472829,0.500000,1.200000
3,3,-4.907632,4.867265,0.454916,-0.573919,0.500000,1.200000
4,4,-6.577335,-0.030541,1.429030,0.031509,0.500000,1.200000
5,5,-5.056998,-4.993044,0.614445,0.735213,0.500000,1.200000
6,6,0.032590,-6.462226,0.133786,1.398428,0.500000,1.200000
7,7,4.698855,-4.863293,-0.547360,0.570349,0.500000,1.200000
0,0,6.173819,0.074754,-1.249013,-0.149704,0.500000,1.300000
1,1,4.918171,4.741972,-0.331779,-0.922705,0.500000,1.300000
2,2,-0.033812,6.038953,-0.110646,-1.389538,0.500000,1.300000
3,3,-4.858981,4.811216,0.486507,-0.560486,0.500000,1.300000
4,4,-6.446010,-0.024947,1.313256,0.055944,0.500000,1.300000
5,5,-4.972387,-4.933427,0.846114,0.596178,0.500000,1.300000
6,6,0.067701,-6.307203,0.351119,1.550231,0.500000,1.300000
7,7,4.643425,-4.811530,-0.554298,0.517635,0.500000,1.300000
0,0,6.043020,0.062361,-1.307991,-0.123927,0.500000,1.400000
1,1,4.853804,4.673173,-0.643672,-0.687988,0.500000,1.400000
2,2,-0.044417,5.875703,-0.106046,-1.632495,0.500000,1.400000
3,3,-4.798659,4.770220,0.603218,-0.409962,0.500000,1.400000
4,4,-6.302200,-0.013003,1.438102,0.119435,0.500000,1.400000
5,5,-4.918358,-4.884288,0.540287,0.491388,0.500000,1.400000
6,6,0.068869,-6.162764,0.011678,1.444383,0.500000,1.400000
7,7,4.594350,-4.748879,-0.490749,0.626503,0.500000,1.400000
0,0,5.890795,0.075354,-1.522249,0.129933,0.500000,1.500000
1,1,4.785256,4.603864,-0.685477,-0.693097,0.500000,1.500000
2,2,-0.062566,5.696218,-0.181493,-1.794848,0.500000,1.500000
3,3,-4.734186,4.684437,0.644735,-0.857828,0.500000,1.500000
4,4,-6.182073,-0.016604,1.201262,-0.036005,0.500000,1.500000
5,5,-4.862594,-4.824176,0.557637,0.601114,0.500000,1.500000
6,6,0.074271,-6.026945,0.054016,1.358193,0.500000,1.500000
7,7,4.545603,-4.688006,-0.487470,0.608733,0.500000,1.500000
0,0,5.744622,0.110381,-1.461725,0.350270,0.500000,1.600000
1,1,4.718225,4.520346,-0.670315,-0.835176,0.500000,1.600000
2,2,-0.060559,5.549745,0.020070,-1.464733,0.500000,1.600000
3,3,-4.684414,4.625291,0.497722,-0.591456,0.500000,1.600000
4,4,-6.031079,0.002054,1.509948,0.186575,0.500000,1.600000
5,5,-4.833025,-4.777077,0.295697,0.470997,0.500000,1.600000
6,6,0.062112,-5.882997,-0.121594,1.439482,0.500000,1.600000
7,7,4.501624,-4.629892,-0.439791,0.581138,0.500000,1.600000
0,0,5.590767,0.140250,-1.538550,0.298684,0.500000,1.700000
1,1,4.666384,4.420711,-0.518403,-0.996346,0.500000,1.700000
2,2,-0.048343,5.389887,0.122163,-1.598584,0.500000,1.700000
3,3,-4.623445,4.554376,0.609681,-0.709157,0.500000,1.700000
4,4,-5.911920,0.022226,1.191588,0.201722,0.500000,1.700000
5,5,-4.756626,-4.696355,0.763990,0.807221,0.500000,1.700000
6,6,0.042039,-5.741138,-0.200727,1.418593,0.500000,1.700000
7,7,4.455547,-4.573161,-0.460767,0.567313,0.500000,1.700000
0,0,5.444085,0.153300,-1.466820,0.130505,0.500000,1.800000
1,1,4.611973,4.322317,-0.544111,-0.983943,0.500000,1.800000
2,2,-0.055088,5.204316,-0.067448,-1.855704,0.500000,1.800000
3,3,-4.560264,4.519027,0.631814,-0.353491,0.500000,1.800000
4,4,-5.762591,0.042833,1.493285,0.206072,0.500000,1.800000
