id,gid,x,y,v_x,v_y,radius,time
0,0,-8.974000,-1.000000,0.260000,0.000000,0.750000,0.100000
1,0,-8.974000,1.000000,0.260000,0.000000,0.750000,0.100000
2,1,-0.026000,0.000000,-0.260000,0.000000,0.750000,0.100000
0,0,-8.927200,-1.000000,0.468000,0.000000,0.750000,0.200000
1,0,-8.927200,1.000000,0.468000,0.000000,0.750000,0.200000
2,1,-0.072800,0.000000,-0.468000,0.000000,0.750000,0.200000
0,0,-8.863760,-1.000000,0.634400,0.000000,0.750000,0.300000
1,0,-8.863760,1.000000,0.634400,0.000000,0.750000,0.300000
2,1,-0.136240,0.000000,-0.634400,0.000000,0.750000,0.300000
0,0,-8.787008,-1.000000,0.767520,0.000000,0.750000,0.400000
1,0,-8.787008,1.000000,0.767520,0.000000,0.750000,0.400000
2,1,-0.212992,0.000000,-0.767520,0.000000,0.750000,0.400000
0,0,-8.699826,-1.000196,0.871825,-0.001960,0.750000,0.500000
1,0,-8.699826,1.000196,0.871825,0.001960,0.750000,0.500000
2,1,-0.299955,0.000000,-0.869633,0.000000,0.750000,0.500000
0,0,-8.605520,-1.001660,0.943060,-0.014642,0.750000,0.600000
1,0,-8.605520,1.001660,0.943060,0.014642,0.750000,0.600000
2,1,-0.392646,0.000000,-0.926907,0.000000,0.750000,0.600000
0,0,-8.506258,-1.004999,0.992620,-0.033393,0.750000,0.700000
1,0,-8.506258,1.004999,0.992620,0.033393,0.750000,0.700000
2,1,-0.488433,0.000000,-0.957870,0.000000,0.750000,0.700000
0,0,-8.403414,-1.010575,1.028437,-0.055751,0.750000,0.800000
1,0,-8.403414,1.010575,1.028437,0.055751,0.750000,0.800000
2,1,-0.585931,0.000000,-0.974978,0.000000,0.750000,0.800000
0,0,-8.297809,-1.018606,1.056046,-0.080313,0.750000,0.900000
1,0,-8.297809,1.018606,1.056046,0.080313,0.750000,0.900000
2,1,-0.684588,0.000000,-0.986575,0.000000,0.750000,0.900000
0,0,-8.189850,-1.029229,1.079588,-0.106232,0.750000,1.000000
1,0,-8.189850,1.029229,1.079588,0.106232,0.750000,1.000000
2,1,-0.784465,0.000000,-0.998764,0.000000,0.750000,1.000000
0,0,-8.079565,-1.042510,1.102856,-0.132811,0.750000,1.100000
1,0,-8.079565,1.042510,1.102856,0.132811,0.750000,1.100000
2,1,-0.886203,0.000000,-1.017382,0.000000,0.750000,1.100000
0,0,-7.966270,-1.058287,1.132950,-0.157767,0.750000,1.200000
1,0,-7.966270,1.058287,1.132950,0.157767,0.750000,1.200000
2,1,-0.991727,0.000000,-1.055238,0.000000,0.750000,1.200000
0,0,-7.849634,-1.070819,1.166359,-0.125320,0.750000,1.300000
1,0,-7.849634,1.070819,1.166359,0.125320,0.750000,1.300000
2,1,-1.102146,0.000000,-1.104191,0.000000,0.750000,1.300000
0,0,-7.733019,-1.088436,1.166154,-0.176167,0.750000,1.400000
1,0,-7.733019,1.088436,1.166154,0.176167,0.750000,1.400000
2,1,-1.211095,0.000000,-1.089492,0.000000,0.750000,1.400000
0,0,-7.613727,-1.102392,1.192920,-0.139560,0.750000,1.500000
1,0,-7.613727,1.102392,1.192920,0.139560,0.750000,1.500000
2,1,-1.324254,0.000000,-1.131593,0.000000,0.750000,1.500000
0,0,-7.494510,-1.122697,1.192161,-0.203051,0.750000,1.600000
1,0,-7.494510,1.122697,1.192161,0.203051,0.750000,1.600000
2,1,-1.436348,0.000000,-1.120935,0.000000,0.750000,1.600000
0,0,-7.373138,-1.138747,1.213721,-0.160507,0.750000,1.700000
1,0,-7.373138,1.138747,1.213721,0.160507,0.750000,1.700000
2,1,-1.552022,0.000000,-1.156748,0.000000,0.750000,1.700000
0,0,-7.250042,-1.151368,1.230968,-0.126202,0.750000,1.800000
1,0,-7.250042,1.151368,1.230968,0.126202,0.750000,1.800000
2,1,-1.670562,0.000000,-1.185398,0.000000,0.750000,1.800000
0,0,-7.130072,-1.174209,1.199691,-0.228413,0.750000,1.900000
1,0,-7.130072,1.174209,1.199691,0.228413,0.750000,1.900000
2,1,-1.782380,0.000000,-1.118174,0.000000,0.750000,1.900000
0,0,-7.008099,-1.192201,1.219738,-0.179923,0.750000,2.000000
1,0,-7.008099,1.192201,1.219738,0.179923,0.750000,2.000000
2,1,-1.897834,0.000000,-1.154539,0.000000,0.750000,2.000000
0,0,-6.884522,-1.206283,1.235771,-0.140817,0.750000,2.100000
1,0,-6.884522,1.206283,1.235771,0.140817,0.750000,2.100000
2,1,-2.016197,0.000000,-1.183632,0.000000,0.750000,2.100000
0,0,-6.762744,-1.233296,1.217779,-0.270129,0.750000,2.200000
1,0,-6.762744,1.233296,1.217779,0.270129,0.750000,2.200000
2,1,-2.130724,0.000000,-1.145272,0.000000,0.750000,2.200000
0,0,-6.639324,-1.254521,1.234194,-0.212255,0.750000,2.300000
1,0,-6.639324,1.254521,1.234194,0.212255,0.750000,2.300000
2,1,-2.248346,0.000000,-1.176218,0.000000,0.750000,2.300000
0,0,-6.514592,-1.271079,1.247321,-0.165573,0.750000,2.400000
1,0,-6.514592,1.271079,1.247321,0.165573,0.750000,2.400000
2,1,-2.368443,0.000000,-1.200974,0.000000,0.750000,2.400000
0,0,-6.388810,-1.283870,1.257817,-0.127916,0.750000,2.500000
1,0,-6.388810,1.283870,1.257817,0.127916,0.750000,2.500000
2,1,-2.490521,0.000000,-1.220779,0.000000,0.750000,2.500000
0,0,-6.267092,-1.317576,1.217182,-0.337061,0.750000,2.600000
1,0,-6.267092,1.317576,1.217182,0.337061,0.750000,2.600000
2,1,-2.604378,0.000000,-1.138568,0.000000,0.750000,2.600000
0,0,-6.143723,-1.344000,1.233689,-0.264242,0.750000,2.700000
1,0,-6.143723,1.344000,1.233689,0.264242,0.750000,2.700000
2,1,-2.721464,0.000000,-1.170855,0.000000,0.750000,2.700000
0,0,-6.019035,-1.364549,1.246884,-0.205489,0.750000,2.800000
1,0,-6.019035,1.364549,1.246884,0.205489,0.750000,2.800000
2,1,-2.841132,0.000000,-1.196684,0.000000,0.750000,2.800000
0,0,-5.893292,-1.380358,1.257431,-0.158082,0.750000,2.900000
1,0,-5.893292,1.380358,1.257431,0.158082,0.750000,2.900000
2,1,-2.962867,0.000000,-1.217347,0.000000,0.750000,2.900000
0,0,-5.766706,-1.392340,1.265860,-0.119828,0.750000,3.000000
1,0,-5.766706,1.392340,1.265860,0.119828,0.750000,3.000000
2,1,-3.086254,0.000000,-1.233878,0.000000,0.750000,3.000000
0,0,-5.639446,-1.401236,1.272596,-0.088957,0.750000,3.100000
1,0,-5.639446,1.401236,1.272596,0.088957,0.750000,3.100000
2,1,-3.210965,0.000000,-1.247102,0.000000,0.750000,3.100000
0,0,-5.519854,-1.454936,1.195918,-0.537002,0.750000,3.200000
1,0,-5.519854,1.454936,1.195918,0.537002,0.750000,3.200000
2,1,-3.320320,0.000000,-1.093559,0.000000,0.750000,3.200000
0,0,-5.398194,-1.497082,1.216607,-0.421459,0.750000,3.300000
1,0,-5.398194,1.497082,1.216607,0.421459,0.750000,3.300000
2,1,-3.433805,0.000000,-1.134847,0.000000,0.750000,3.300000
0,0,-5.274880,-1.529902,1.233131,-0.328197,0.750000,3.400000
1,0,-5.274880,1.529902,1.233131,0.328197,0.750000,3.400000
2,1,-3.550593,0.000000,-1.167878,0.000000,0.750000,3.400000
0,0,-5.150248,-1.555193,1.246326,-0.252912,0.750000,3.500000
1,0,-5.150248,1.555193,1.246326,0.252912,0.750000,3.500000
2,1,-3.670023,0.000000,-1.194302,0.000000,0.750000,3.500000
0,0,-5.024562,-1.574407,1.256861,-0.192137,0.750000,3.600000
1,0,-5.024562,1.574407,1.256861,0.192137,0.750000,3.600000
2,1,-3.791567,0.000000,-1.215442,0.000000,0.750000,3.600000
0,0,-4.898035,-1.588714,1.265271,-0.143069,0.750000,3.700000
1,0,-4.898035,1.588714,1.265271,0.143069,0.750000,3.700000
2,1,-3.914803,0.000000,-1.232353,0.000000,0.750000,3.700000
0,0,-4.770836,-1.599059,1.271984,-0.103452,0.750000,3.800000
1,0,-4.770836,1.599059,1.271984,0.103452,0.750000,3.800000
2,1,-4.039391,0.000000,-1.245883,0.000000,0.750000,3.800000
0,0,-4.643102,-1.606205,1.277341,-0.071462,0.750000,3.900000
