id,gid,x,y,v_x,v_y,radius,time
6,6,0.000000,-7.110633,0.000000,1.234734,0.500000,1.000000
7,7,5.118577,-5.118087,-0.747314,0.747980,0.500000,1.000000
0,0,7.036013,0.000312,-1.199931,0.000388,0.500000,1.100000
1,1,5.054417,5.054409,-0.749884,-0.749894,0.500000,1.100000
2,2,0.000514,6.998066,0.002722,-1.246746,0.500000,1.100000
3,3,-4.970001,4.969877,0.852880,-0.855535,0.500000,1.100000
4,4,-7.132552,0.000205,1.079763,0.000255,0.500000,1.100000
5,5,-4.956744,-4.956666,0.867553,0.872505,0.500000,1.100000
6,6,0.000447,-6.984296,0.004465,1.263374,0.500000,1.100000
7,7,5.042047,-5.041489,-0.765293,0.765975,0.500000,1.100000
0,0,6.913765,0.000351,-1.222483,0.000395,0.500000,1.200000
1,1,4.978019,4.978010,-0.763977,-0.763988,0.500000,1.200000
2,2,0.001383,6.871163,0.008683,-1.269021,0.500000,1.200000
3,3,-4.883701,4.882601,0.862997,-0.872769,0.500000,1.200000
4,4,-7.022547,0.000231,1.100056,0.000260,0.500000,1.200000
5,5,-4.869075,-4.867612,0.876695,0.890537,0.500000,1.200000
6,6,0.001617,-6.855748,0.011708,1.285479,0.500000,1.200000
7,7,4.964080,-4.963452,-0.779676,0.780371,0.500000,1.200000
0,0,6.789930,0.000428,-1.238348,0.000767,0.500000,1.300000
1,1,4.900494,4.900484,-0.775252,-0.775263,0.500000,1.300000
2,2,0.002941,6.742577,0.015587,-1.285863,0.500000,1.300000
3,3,-4.796888,4.793974,0.868136,-0.886269,0.500000,1.300000
4,4,-6.910918,0.000257,1.116291,0.000264,0.500000,1.300000
5,5,-4.780937,-4.777143,0.881383,0.904698,0.500000,1.300000
6,6,0.003493,-6.725569,0.018758,1.301794,0.500000,1.300000
7,7,4.884962,-4.884264,-0.791183,0.791888,0.500000,1.300000
0,0,6.665428,0.000566,-1.245023,0.001378,0.500000,1.400000
1,1,4.822067,4.822055,-0.784272,-0.784283,0.500000,1.400000
2,2,0.004977,6.612893,0.020354,-1.296837,0.500000,1.400000
3,3,-4.709751,4.704703,0.871365,-0.892709,0.500000,1.400000
4,4,-6.798205,0.000213,1.127126,-0.000441,0.500000,1.400000
5,5,-4.692574,-4.685896,0.883629,0.912468,0.500000,1.400000
6,6,0.005844,-6.594332,0.023503,1.312368,0.500000,1.400000
7,7,4.804937,-4.804197,-0.800241,0.800665,0.500000,1.400000
0,0,6.540817,0.001079,-1.246105,0.005128,0.500000,1.500000
1,1,4.742918,4.742905,-0.791488,-0.791499,0.500000,1.500000
2,2,0.007377,6.482534,0.024009,-1.303593,0.500000,1.500000
3,3,-4.622300,4.615404,0.874513,-0.892987,0.500000,1.500000
4,4,-6.685354,0.000073,1.128509,-0.001397,0.500000,1.500000
5,5,-4.603839,-4.594463,0.887344,0.914331,0.500000,1.500000
6,6,0.008545,-6.462455,0.027011,1.318769,0.500000,1.500000
7,7,4.724284,-4.723764,-0.806531,0.804326,0.500000,1.500000
0,0,6.416382,0.001723,-1.244356,0.006442,0.500000,1.600000
1,1,4.663358,4.663581,-0.795605,-0.793246,0.500000,1.600000
2,2,0.010088,6.351790,0.027101,-1.307443,0.500000,1.600000
3,3,-4.534715,4.526430,0.875848,-0.889743,0.500000,1.600000
4,4,-6.572759,-0.000182,1.125946,-0.002547,0.500000,1.600000
5,5,-4.514881,-4.503161,0.889581,0.913015,0.500000,1.600000
6,6,0.011530,-6.330169,0.029852,1.322864,0.500000,1.600000
7,7,4.643234,-4.643355,-0.810502,0.804096,0.500000,1.600000
0,0,6.292428,0.002392,-1.239536,0.006693,0.500000,1.700000
