id,gid,x,y,v_x,v_y,radius,time
0,0,7.875505,0.000409,-1.244954,0.004089,0.500000,0.100000
1,1,5.621068,5.609646,-0.357824,-0.472036,0.500000,0.100000
2,2,0.000991,7.980582,0.009909,-0.194175,0.500000,0.100000
3,3,-5.634028,5.633318,0.228220,-0.235316,0.500000,0.100000
4,4,-7.950183,-0.000635,0.498168,-0.006342,0.500000,0.100000
5,5,-5.641731,-5.647281,0.151194,0.095786,0.500000,0.100000
6,6,-0.007543,-7.971239,-0.075430,0.287610,0.500000,0.100000
7,7,5.650468,-5.650308,-0.063916,0.065424,0.500000,0.100000
0,0,7.754583,-0.002268,-1.209219,-0.026770,0.500000,0.200000
1,1,5.560007,5.530865,-0.610607,-0.787811,0.500000,0.200000
2,2,0.001059,7.943903,0.000688,-0.366798,0.500000,0.200000
3,3,-5.593020,5.601197,0.410080,-0.321215,0.500000,0.200000
4,4,-7.854056,0.005873,0.961267,0.065082,0.500000,0.200000
5,5,-5.610964,-5.612574,0.307669,0.347079,0.500000,0.200000
6,6,-0.008006,-7.836859,-0.004628,1.343799,0.500000,0.200000
7,7,5.599570,-5.601233,-0.508984,0.490750,0.500000,0.200000
0,0,7.626233,-0.002294,-1.283495,-0.000257,0.500000,0.300000
1,1,5.503532,5.451458,-0.564751,-0.794076,0.500000,0.300000
2,2,-0.003778,7.847633,-0.048369,-0.962693,0.500000,0.300000
3,3,-5.552877,5.567571,0.401431,-0.336259,0.500000,0.300000
4,4,-7.724344,0.013844,1.297120,0.079712,0.500000,0.300000
5,5,-5.548320,-5.560345,0.626436,0.522284,0.500000,0.300000
6,6,-0.007902,-7.719834,0.001034,1.170253,0.500000,0.300000
7,7,5.531299,-5.518236,-0.682713,0.829964,0.500000,0.300000
0,0,7.477603,0.000411,-1.486302,0.027045,0.500000,0.400000
1,1,5.449315,5.365629,-0.542167,-0.858287,0.500000,0.400000
2,2,-0.017517,7.737346,-0.137391,-1.102872,0.500000,0.400000
3,3,-5.517532,5.534802,0.353446,-0.327684,0.500000,0.400000
4,4,-7.597297,0.041903,1.270478,0.280586,0.500000,0.400000
5,5,-5.480462,-5.504486,0.678585,0.558594,0.500000,0.400000
6,6,-0.020536,-7.588566,-0.126338,1.312679,0.500000,0.400000
7,7,5.475482,-5.408157,-0.558163,1.100792,0.500000,0.400000
0,0,7.344810,-0.013304,-1.327931,-0.137149,0.500000,0.500000
1,1,5.383542,5.266502,-0.657726,-0.991268,0.500000,0.500000
2,2,-0.015696,7.608723,0.018205,-1.286229,0.500000,0.500000
3,3,-5.447938,5.493014,0.695946,-0.417881,0.500000,0.500000
4,4,-7.480979,0.032187,1.163179,-0.097156,0.500000,0.500000
5,5,-5.417694,-5.442009,0.627671,0.624767,0.500000,0.500000
6,6,-0.028664,-7.449634,-0.081275,1.389317,0.500000,0.500000
7,7,5.415189,-5.317128,-0.602933,0.910294,0.500000,0.500000
0,0,7.199360,-0.004912,-1.454500,0.083925,0.500000,0.600000
1,1,5.306746,5.193519,-0.767964,-0.729836,0.500000,0.600000
2,2,-0.023771,7.460310,-0.080748,-1.484136,0.500000,0.600000
3,3,-5.368653,5.437789,0.792846,-0.552256,0.500000,0.600000
4,4,-7.353324,0.005463,1.276548,-0.267249,0.500000,0.600000
5,5,-5.341505,-5.398157,0.761900,0.438522,0.500000,0.600000
6,6,-0.011217,-7.309648,0.174466,1.399866,0.500000,0.600000
7,7,5.363237,-5.221301,-0.519516,0.958262,0.500000,0.600000
0,0,7.067810,0.008720,-1.315502,0.136314,0.500000,0.700000
1,1,5.219321,5.107538,-0.874246,-0.859807,0.500000,0.700000
2,2,0.008229,7.313758,0.319998,-1.465513,0.500000,0.700000
3,3,-5.283944,5.377748,0.847095,-0.600409,0.500000,0.700000
4,4,-7.196366,-0.004037,1.569577,-0.094992,0.500000,0.700000
